scorer,,,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab
bodyparts,,,R-F-ThC,R-F-ThC,R-F-CTr,R-F-CTr,R-F-FeTi,R-F-FeTi,R-F-TiTa,R-F-TiTa,R-F-TaG,R-F-TaG,R-M-ThC,R-M-ThC,R-M-CTr,R-M-CTr,R-M-FeTi,R-M-FeTi,R-M-TiTa,R-M-TiTa,R-M-TaG,R-M-TaG,R-H-ThC,R-H-ThC,R-H-CTr,R-H-CTr,R-H-FeTi,R-H-FeTi,R-H-TiTa,R-H-TiTa,R-H-TaG,R-H-TaG,L-F-ThC,L-F-ThC,L-F-CTr,L-F-CTr,L-F-FeTi,L-F-FeTi,L-F-TiTa,L-F-TiTa,L-F-TaG,L-F-TaG,L-M-ThC,L-M-ThC,L-M-CTr,L-M-CTr,L-M-FeTi,L-M-FeTi,L-M-TiTa,L-M-TiTa,L-M-TaG,L-M-TaG,L-H-ThC,L-H-ThC,L-H-CTr,L-H-CTr,L-H-FeTi,L-H-FeTi,L-H-TiTa,L-H-TiTa,L-H-TaG,L-H-TaG
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,BPN_N3_A-07032022200219-0000,img052.png,938.4207991133596,553.9709994600585,850.9502827588171,650.6489385887635,976.7850606723696,633.7686635027991,1028.9604563926232,761.1380118787121,1117.9655432095262,885.4382193299042,,,,,767.6741671132024,517.8691420800867,,,,,751.2032027053913,580.0586973201853,714.3735116087419,661.3909318252863,663.7326863508488,520.2104492881298,626.9029952541991,708.9626161584586,531.7596265878547,877.7653670181022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,BPN_N3_A-07032022200219-0000,img054.png,937.65557451479,537.5546108054415,863.89115571424,651.8894599462942,992.9788886152028,640.8247971262117,1042.769871305574,769.29782653717,1126.9842494362022,875.0268268179585,,,,,764.2478054216245,552.1327589958657,776.2400713421472,707.1756255397657,,,751.4159277655792,579.3899988474493,717.5961400844606,663.0939733582181,663.4844797946706,516.8233916373798,642.3471124939715,713.8236548798961,557.7976432911748,877.0041304412938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,BPN_N3_A-07032022200219-0000,img055.png,937.65557451479,537.5546108054415,870.0381906142858,652.5041634362988,996.6671095552302,643.8983145762347,1047.0727957356062,771.7566404971883,1133.131284336248,876.8709372879723,,,,,757.3950820384688,587.2529663345392,765.104395844519,750.8617371073841,752.2555395011019,886.2030239247111,751.4159277655792,579.3899988474493,716.7506453924326,663.0939733582181,669.4029426388664,510.05943410115606,650.8020594142512,708.7506867277284,570.4800636715943,877.8496251333218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,BPN_N3_A-07032022200219-0000,img069.png,937.65557451479,537.5546108054415,885.4057778644004,673.4040820964547,1020.640545665409,686.9275588765556,1078.42267372584,821.5476231875597,1179.8487495765962,932.8089548783896,,,783.9493851481975,657.4933810118862,807.9339169892428,573.5475195682276,879.8875125123787,761.1408221821177,966.4031452247207,903.3348323826007,751.4159277655792,579.3899988474493,696.4587727837613,653.7935317459105,624.5917239613842,515.1324022533239,491.00356262096534,576.8535147713654,368.4068322769102,558.2526315467502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,BPN_N3_A-07032022200219-0000,img084.png,937.65557451479,537.5546108054415,918.0122429369742,673.1334350291586,1094.8338100256578,642.5979836845265,1077.7907674147004,753.37776065575,1174.3680088767924,860.6069037496906,,,783.0927947253031,672.0554182010922,852.4766189797556,695.1833596192431,941.5620229607811,833.0944177052536,1090.6087565444197,978.7147895973145,751.4159277655792,579.3899988474493,720.1326241605444,652.9480370538824,651.6475541062791,541.3427377061909,628.819197421524,733.2700327965395,578.089515899846,904.9054552782168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,BPN_N3_A-07032022200219-0000,img095.png,937.65557451479,537.5546108054415,930.0843981197357,689.4663508646595,1082.0515280674397,709.3499005774432,1175.7882624277056,812.3182830186445,1307.8718426626258,906.0550173789104,,,789.9455181084588,657.4933810118862,811.3602786808208,543.566854766921,875.6045603979064,722.5942531518664,992.1008579115551,882.7766622331333,751.4159277655792,579.3899988474493,710.8321825482368,652.9480370538824,656.7205222584469,522.7418544815756,611.0638088889367,707.0596973436725,541.7332441426435,881.2316039014337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,BPN_N3_A-07032022200219-0000,img108.png,937.65557451479,537.5546108054415,902.3894538769298,683.785336661007,1055.0667106000903,624.1346875226559,1074.2401335374175,756.9283945330326,1185.0199105086408,883.3309605643004,,,788.23233726267,654.9236097432029,793.3718798000367,511.8730091198254,884.1704646268512,656.6367905889917,994.6706291802385,686.6174553902983,751.4159277655792,579.3899988474493,711.6776772402648,647.8750689017147,635.5831549577478,539.651748322135,583.1624840520138,727.3515699523437,507.9134564615248,896.4505083579371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,BPN_N3_A-07032022200219-0000,img111.png,937.65557451479,537.5546108054415,886.7666648168855,677.3941956818978,1032.3426537854803,604.2511378098723,1037.3135412136762,723.5524360865743,1135.3110362266816,850.6651288932986,,,783.0927947253031,659.2065618576752,819.9261829097654,578.6870621055945,936.4224804234142,708.0322159626603,1040.92651201654,717.4547106144995,751.4159277655792,579.3899988474493,706.6047090880969,648.7205635937427,623.7462292693561,543.0337270902468,568.7890742875384,726.5060752603156,474.09366878040606,898.986992434021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
