scorer,,,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab
bodyparts,,,R-M-ThC,R-M-ThC,R-M-CTr,R-M-CTr,R-M-FeTi,R-M-FeTi,R-M-TiTa,R-M-TiTa,R-M-TaG,R-M-TaG
coords,,,x,y,x,y,x,y,x,y,x,y
labeled-data,BPN_N2_A-07032022195720-0000,img052.png,,,781.8946119525992,644.5106567393219,801.8440279632844,501.7956037398051,933.8170877262787,601.5426837932308,1033.5641677797043,540.1598652988149
labeled-data,BPN_N2_A-07032022195720-0000,img053.png,,,781.3913931074018,645.6966662521547,807.0513803092899,515.7412471974308,950.2506637262786,622.5199036181912,1068.6177014640205,591.0657257578121
labeled-data,BPN_N2_A-07032022195720-0000,img057.png,807.0513803092899,581.1328274861135,783.046876152685,651.4908569106456,864.1655453715571,597.6876579389445,954.3893713394864,766.5469285578214,1102.5551038923245,914.7126611106594
labeled-data,BPN_N2_A-07032022195720-0000,img069.png,,,782.2191346300433,642.3857001615884,797.9462235602329,507.4638319710152,867.4765114621233,676.3231025898922,1013.1590194470366,845.1823732087689
labeled-data,BPN_N2_A-07032022195720-0000,img082.png,806.5028528677462,579.3714911683637,770.6307533130616,638.2469925483806,763.1810796092876,452.8328914766728,792.9797744243835,631.6250603672482,838.5055581696689,801.3120725087666
labeled-data,BPN_N2_A-07032022195720-0000,img085.png,,,778.0804270168355,642.3857001615884,770.6307533130616,454.48837452195585,831.8836259885366,639.0747340710222,932.0403502281644,743.3701659238579
labeled-data,BPN_N2_A-07032022195720-0000,img110.png,806.5028528677462,579.3714911683637,,,740.8320584979656,474.35417106535317,779.7359100621186,659.7682721370611,670.4740290734337,804.6230385993329
labeled-data,BPN_N2_A-07032022195720-0000,img118.png,,,777.252685494194,647.3521492974378,797.9462235602329,501.6696413125244,845.9552318734429,682.9450347710246,952.7338882942032,849.3210808219767
labeled-data,BPN_N2_A-07032022195720-0000,img128.png,806.5028528677462,579.3714911683637,,,771.458494835703,471.04320497478693,773.9417194036278,663.9069797502689,744.143024588532,836.9049579823534
labeled-data,BPN_N2_A-07032022195720-0000,img134.png,,,783.046876152685,644.8689247295131,807.8791218319315,513.2580226295062,917.1410028206164,667.217945840835,1071.1009260319452,777.3075683521615
labeled-data,BPN_N2_A-07032022195720-0000,img157.png,,,777.252685494194,644.8689247295131,813.6733124904223,519.052213287997,892.3087571413698,707.7772804502711,1013.9867609696781,865.8759112748078
labeled-data,BPN_N2_A-07032022195720-0000,img163.png,,,776.4249439715525,641.557958638947,781.3913931074018,488.42577695025955,834.3668505564611,672.1843949766844,921.2797104338242,851.8043053899014
labeled-data,BPN_N2_A-07032022195720-0000,img164.png,,,773.1139778809862,641.557958638947,778.9081685394772,489.2535184729011,825.2616938074041,673.8398780219675,892.3087571413698,836.0772164597118
labeled-data,BPN_N2_A-07032022195720-0000,img168.png,806.5028528677462,579.3714911683637,,,770.6307533130616,491.7367430408258,787.1855837658927,675.4953610672505,812.8455709677808,836.9049579823534
labeled-data,BPN_N2_A-07032022195720-0000,img176.png,,,781.3913931074018,647.3521492974378,815.3287955357055,520.7076963332802,899.7584308451438,700.3276067464972,1024.7474007640185,862.5649451842415
labeled-data,BPN_N2_A-07032022195720-0000,img190.png,,,773.1139778809862,639.9024755936638,775.5972024489108,486.7702939049765,809.5346048772145,677.9785856351752,816.156537058347,782.2740174880109
labeled-data,BPN_N2_A-07032022195720-0000,img194.png,,,777.252685494194,646.5244077747961,802.0849311734406,507.4638319710152,922.1074519564658,651.4908569106456,1063.6512523281713,735.0927506974424
labeled-data,BPN_N2_A-07032022195720-0000,img195.png,,,782.2191346300433,647.3521492974378,809.5346048772145,514.0857641521477,932.868091750806,667.217945840835,1071.9286675545868,764.8914455125382
labeled-data,BPN_N2_A-07032022195720-0000,img196.png,,,776.4249439715525,647.3521492974378,823.606210762121,529.8128530823371,921.2797104338242,697.0166406559309,1031.3693329451507,813.7281953483899
labeled-data,BPN_N2_A-07032022195720-0000,img208.png,,,,,778.0804270168355,525.6741454691294,800.4294481281574,717.7101787219698,839.3332996923104,890.7081569540544
labeled-data,BPN_N2_A-07032022195720-0000,img212.png,806.5028528677462,579.3714911683637,,,768.9752702677785,525.6741454691294,773.1139778809862,718.5379202446113,769.80301179042,868.3591358427325
labeled-data,BPN_N2_A-07032022195720-0000,img214.png,,,777.252685494194,639.9024755936638,784.702359197968,499.1864167445998,842.6442657828767,670.5289119314012,912.1745536847671,817.8669029615977
labeled-data,BPN_N2_A-07032022195720-0000,img236.png,,,780.5636515847602,641.557958638947,787.1855837658927,473.52642954271164,878.2371512564634,644.8689247295131,1008.1925703111873,733.4372676521593
labeled-data,BPN_N2_A-07032022195720-0000,img237.png,,,781.3913931074018,635.763767980456,790.4965498564588,493.39222608610885,884.0313419149543,663.9069797502689,1004.881604220621,781.4462759653693
labeled-data,BPN_N2_A-07032022195720-0000,img245.png,,,778.0804270168355,637.4192510257392,777.252685494194,471.04320497478693,816.9842785809885,654.8018230012117,894.7919817092945,821.1778690521639
labeled-data,BPN_N2_A-07032022195720-0000,img262.png,,,777.252685494194,642.3857001615884,794.6352574696666,485.1148108596933,835.1945920791027,676.3231025898922,924.5906765243905,841.0436655955612
labeled-data,BPN_N2_A-07032022195720-0000,img264.png,,,778.0804270168355,642.3857001615884,781.3913931074018,468.55998040686234,816.9842785809885,665.5624627955519,888.9977910508037,833.5939918917873
labeled-data,BPN_N2_A-07032022195720-0000,img285.png,,,776.4249439715525,642.3857001615884,774.7694609262694,458.6270821351636,805.3958972640067,653.1463399559286,871.6152190753311,817.8669029615977
labeled-data,BPN_N2_A-07032022195720-0000,img288.png,806.5028528677462,579.3714911683637,,,767.3197872224954,465.2490143162961,787.1855837658927,645.6966662521547,820.2952446715548,808.7617462125406
labeled-data,BPN_N2_A-07032022195720-0000,img320.png,,,773.1139778809862,639.9024755936638,796.2907405149497,494.2199676087504,846.7829733960845,685.4282593389491,943.6287315451461,850.1488223446182
labeled-data,BPN_N2_A-07032022195720-0000,img333.png,,,783.8746176753264,642.3857001615884,793.8075159470251,497.5309336993166,874.9261851658972,657.2850475691364,992.4654813809977,751.6475811502735
labeled-data,BPN_N2_A-07032022195720-0000,img336.png,,,779.7359100621186,649.0076323427209,816.9842785809885,514.9135056747892,903.8971384583516,692.0501915200816,1037.1635236036418,827.7998012332963
labeled-data,BPN_N2_A-07032022195720-0000,img338.png,,,774.7694609262694,641.557958638947,807.8791218319315,512.4302811068646,865.8210284168401,697.8443821785725,954.3893713394864,852.6320469125429
labeled-data,BPN_N2_A-07032022195720-0000,img343.png,,,773.1139778809862,640.7302171163053,778.0804270168355,489.2535184729011,812.0178294451392,673.0121364993258,857.5436131904246,836.0772164597118
labeled-data,BPN_N2_A-07032022195720-0000,img344.png,806.5028528677462,579.3714911683637,773.1139778809862,643.21344168423,771.458494835703,490.90900151818425,802.9126726960822,678.8063271578168,867.4765114621233,855.9430130031092
labeled-data,BPN_N2_A-07032022195720-0000,img397.png,,,777.252685494194,639.0747340710222,791.3242913791004,486.7702939049765,830.2281429432534,672.1843949766844,898.1029477998608,845.1823732087689
labeled-data,BPN_N2_A-07032022195720-0000,img412.png,,,779.7359100621186,640.7302171163053,812.0178294451392,519.8799548106385,888.9977910508037,696.1888991332894,988.32677376779,835.2494749370704
labeled-data,BPN_N2_A-07032022195720-0000,img414.png,,,773.1139778809862,639.9024755936638,802.9126726960822,509.1193150162984,866.6487699394818,691.22244999744,956.0448543847696,850.1488223446183
labeled-data,BPN_N2_A-07032022195720-0000,img418.png,,,775.5972024489108,639.0747340710222,788.0133252885341,484.2870693370518,835.1945920791027,675.4953610672505,949.422922203637,855.1152714804675
