scorer,,,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab
bodyparts,,,R-F-ThC,R-F-ThC,R-F-CTr,R-F-CTr,R-F-FeTi,R-F-FeTi,R-F-TiTa,R-F-TiTa,R-F-TaG,R-F-TaG,R-M-ThC,R-M-ThC,R-M-CTr,R-M-CTr,R-M-FeTi,R-M-FeTi,R-M-TiTa,R-M-TiTa,R-M-TaG,R-M-TaG,R-H-ThC,R-H-ThC,R-H-CTr,R-H-CTr,R-H-FeTi,R-H-FeTi,R-H-TiTa,R-H-TiTa,R-H-TaG,R-H-TaG,L-F-ThC,L-F-ThC,L-F-CTr,L-F-CTr,L-F-FeTi,L-F-FeTi,L-F-TiTa,L-F-TiTa,L-F-TaG,L-F-TaG,L-M-ThC,L-M-ThC,L-M-CTr,L-M-CTr,L-M-FeTi,L-M-FeTi,L-M-TiTa,L-M-TiTa,L-M-TaG,L-M-TaG,L-H-ThC,L-H-ThC,L-H-CTr,L-H-CTr,L-H-FeTi,L-H-FeTi,L-H-TiTa,L-H-TiTa,L-H-TaG,L-H-TaG
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,BPN_N1_A-07032022194818-0000,img051.png,,,,,909.2639603285122,507.93388558924664,877.037980618944,623.0266702662764,930.7479468015576,788.7602802011992,,,714.3735116087419,575.454985933104,766.5489073289953,498.72646281508423,792.6366051891221,673.6674955241695,858.6231350706191,831.7282531472904,706.7006592969399,492.58818096564266,654.5252635766863,563.1784222342209,550.1744721361795,500.26103327744465,527.1559152007735,658.3217909005655,387.5100031259774,817.9171189860467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,BPN_N1_A-07032022194818-0000,img062.png,871.4101465589231,513.730793214375,820.657681288991,632.4031666055464,938.9886804558492,549.0259138486641,1076.5321407257954,600.0081133308704,1232.7743872153114,638.031000665567,765.014336866635,487.9844695785615,,,725.1996738498681,486.9075259043335,705.2073859745926,658.2699934066948,677.5989884325456,824.8723923673235,706.44308312443,491.9918117019853,661.3855392217113,561.4555252186766,636.0406707764319,440.36337598011994,554.3738724527541,599.9421773022489,418.2625419132913,649.6932153615008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,BPN_N1_A-07032022194818-0000,img087.png,871.3811746675177,512.9079278287636,803.1870071573278,621.1093402782648,965.9437536149809,582.011350905756,995.9491873194645,715.6719192257281,1076.8729327648898,829.3288650760444,765.014336866635,487.9844695785615,713.7755093497108,576.3968144889,691.8791940577423,516.4199508630735,643.3264949320735,682.070336115356,579.5415764728612,822.0163512422843,706.44308312443,491.9918117019853,651.0598520773381,567.0877182065165,578.7800420667268,496.6853058585184,604.1249105120062,640.3062270484345,476.461869454303,798.00763070795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,BPN_N1_A-07032022194818-0000,img098.png,,,802.6651557893506,616.7175465017826,889.300622395051,491.50222367323136,969.1676931721811,597.0891985989286,1102.5050909950166,697.9382964446268,765.014336866635,487.9844695785615,720.4396053081359,571.6367459471676,745.1919617251435,482.14745736260124,747.0959891418365,663.9820756567734,754.7120988086081,834.3925294507881,706.44308312443,491.9918117019853,648.2437555834183,567.0877182065165,484.9101589360628,597.1260808083289,370.38890151665265,740.747001998245,210.81010019452373,905.0192974769071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,BPN_N1_A-07032022194818-0000,img108.png,879.4971358515946,497.570478884125,806.7261932864928,620.7785839989249,963.0761369264676,578.1376902789317,985.4118431607499,708.0908901874823,1090.998818086447,826.5378171874632,765.014336866635,487.9844695785615,711.8714819330178,574.492787072207,689.9751666410496,504.0437726545696,638.5664263903411,659.2220071150412,560.5013023059323,811.5442004504732,,,,,569.3930537536605,506.07229417158476,565.6382584284338,664.7123966624072,431.40432555158424,820.5364026593095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,BPN_N1_A-07032022194818-0000,img112.png,878.9711982085221,496.51860359797996,795.2199203779232,611.9796694217835,930.58783694933,532.1125986446534,923.1426015379027,658.0047610560617,1009.101228560746,796.0800359588967,,,722.3436327248289,580.2048693222857,766.1362633087656,490.7155807377194,851.8174970599462,623.9974999062224,967.0111557698667,728.719007824332,706.44308312443,491.9918117019853,652.9372497399515,563.33292288129,530.9064016700881,523.907571966411,495.2358460804358,686.3024697824599,354.4310213844397,840.2490781167489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,BPN_N1_A-07032022194818-0000,img123.png,878.9711982085221,496.51860359797996,835.8302953493453,635.6690548217796,1007.7475493950319,639.0532527360648,1099.1208930807315,734.4876339189066,1236.2235173253814,810.2744937759571,765.014336866635,487.9844695785615,,,723.2956464331753,487.85953961268,704.2553722662462,663.9820756567734,683.3110706826244,838.2005842841738,706.44308312443,491.9918117019853,651.0598520773381,552.0685369056102,603.1862116806994,453.5051596184129,497.11324374304917,599.0034784709422,368.5115038540394,628.103142241448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,BPN_N1_A-07032022194818-0000,img128.png,878.9711982085221,496.51860359797996,807.593214805975,621.7535880616267,960.4480032229997,584.8136808608458,989.1082760511918,714.7402510153167,1097.3804178465841,830.6551322315604,765.014336866635,487.9844695785615,711.8714819330178,575.4448007805535,691.8791940577423,514.5159234463806,639.5184400986877,678.2622812819702,563.3573434309715,845.8166939509455,706.44308312443,491.9918117019853,,,584.4122350545667,498.56270352113165,580.6574397293402,661.8963001684872,470.8296764664631,814.9042096714696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
