scorer,,,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab
bodyparts,,,R-H-ThC,R-H-ThC,R-H-CTr,R-H-CTr,R-H-FeTi,R-H-FeTi,R-H-TiTa,R-H-TiTa,R-H-TaG,R-H-TaG
coords,,,x,y,x,y,x,y,x,y,x,y
labeled-data,BPN_N2_A-07032022195720-0000,img052.png,743.5303503935893,570.8512745460229,694.4240955980567,641.4415158146011,606.953579243514,572.3858450083833,528.6904856631338,748.8614481798288,402.85570774958126,905.3876353405893
labeled-data,BPN_N2_A-07032022195720-0000,img053.png,743.7933537260049,570.0574239985522,695.2162439924296,638.9485978025317,604.2445657640976,574.4735248834227,522.1050893055066,748.4678997473197,396.6878241751849,909.2139719566054
labeled-data,BPN_N2_A-07032022195720-0000,img057.png,743.7933537260049,570.0574239985522,692.5665834615073,636.2989372716095,603.3613455871235,584.1889468301378,513.2728875357657,749.3511199242939,396.6878241751849,921.5790544342427
labeled-data,BPN_N2_A-07032022195720-0000,img069.png,743.7933537260049,570.0574239985522,693.4498036384814,642.4814785104281,570.682199039082,631.882836386739,460.2796769173199,783.7967068262836,333.97919161002403,960.440742221103
labeled-data,BPN_N2_A-07032022195720-0000,img082.png,743.7933537260049,570.0574239985522,706.6981062930928,637.1821574485836,648.4055746128024,557.6923415209149,604.2445657640976,749.3511199242939,461.16289709429395,873.0019447006674
labeled-data,BPN_N2_A-07032022195720-0000,img085.png,743.7933537260049,570.0574239985522,704.9316659391446,636.2989372716095,634.2740517812169,572.7070845294744,584.8137218706675,760.832982224957,437.3159523159933,878.301265762512
labeled-data,BPN_N2_A-07032022195720-0000,img110.png,743.7933537260049,570.0574239985522,701.3987852312482,636.2989372716095,636.0404921351651,562.9916625827594,598.945244702253,748.4678997473197,482.3601813416723,868.5858438157969
labeled-data,BPN_N2_A-07032022195720-0000,img118.png,743.7933537260049,570.0574239985522,691.6833632845331,642.4814785104281,564.4996578002632,603.6197907235678,477.94408045680177,782.0302664723354,356.05969603437643,909.2139719566054
labeled-data,BPN_N2_A-07032022195720-0000,img128.png,743.7933537260049,570.0574239985522,704.0484457621706,634.5324969176613,664.3035377983362,540.0279379814328,635.157271958191,706.9565514295372,503.5574655890506,842.089238506574
labeled-data,BPN_N2_A-07032022195720-0000,img134.png,743.7933537260049,570.0574239985522,692.5665834615073,633.6492767406871,595.4123639943566,563.8748827597335,515.0393278897138,734.3363769157343,359.5925767422728,887.133467532253
labeled-data,BPN_N2_A-07032022195720-0000,img157.png,743.7933537260049,570.0574239985522,695.2162439924296,640.71503815648,579.5144008088229,592.1379284229046,487.65950240351685,778.4973857644391,352.52681532648006,919.8126140802946
labeled-data,BPN_N2_A-07032022195720-0000,img163.png,743.7933537260049,570.0574239985522,705.8148861161187,625.7002951479203,691.6833632845331,502.0494703715467,575.0982999239524,656.6130013420136,419.6515487765114,721.0880742611228
labeled-data,BPN_N2_A-07032022195720-0000,img164.png,743.7933537260049,570.0574239985522,708.4645466470411,631.882836386739,713.7638677088856,487.03472736298704,622.7921894805536,649.5472399262209,474.41119974890535,719.3216339071746
labeled-data,BPN_N2_A-07032022195720-0000,img168.png,743.7933537260049,570.0574239985522,706.6981062930928,642.4814785104281,680.2015009838699,525.8964151498474,657.2377763825434,705.190111075589,530.0540708982735,838.5563577986777
labeled-data,BPN_N2_A-07032022195720-0000,img176.png,743.7933537260049,570.0574239985522,691.6833632845331,643.3646986874022,569.7989788621078,594.7875889538268,488.54272258049093,778.4973857644391,341.9281732027909,911.8636324875278
labeled-data,BPN_N2_A-07032022195720-0000,img190.png,743.7933537260049,570.0574239985522,705.8148861161187,642.4814785104281,643.9894737279319,551.5098002820961,655.4713360285953,711.3726523144077,504.44068576602467,828.8409358519625
labeled-data,BPN_N2_A-07032022195720-0000,img194.png,743.7933537260049,570.0574239985522,690.800143107559,640.71503815648,611.3103271798904,570.0574239985522,628.9747307193724,715.7887531992782,442.61527337783787,817.3590735512994
labeled-data,BPN_N2_A-07032022195720-0000,img195.png,743.7933537260049,570.0574239985522,689.916922930585,639.8318179795058,590.113042932512,570.0574239985522,611.3103271798904,727.2706154999414,423.1844294844078,819.1255139052475
labeled-data,BPN_N2_A-07032022195720-0000,img196.png,743.7933537260049,570.0574239985522,684.6176018687404,640.71503815648,583.0472815167193,579.7728459452672,589.229822755538,737.8692576236306,397.571044352159,832.3738165598589
labeled-data,BPN_N2_A-07032022195720-0000,img208.png,743.7933537260049,570.0574239985522,704.9316659391446,641.5982583334539,686.3840422226885,502.0494703715467,656.3545562055693,684.8760470051848,496.49170417325786,782.0302664723354
labeled-data,BPN_N2_A-07032022195720-0000,img212.png,743.7933537260049,570.0574239985522,705.8148861161187,640.71503815648,636.0404921351651,558.5755616978889,632.5076114272687,723.7377347920451,443.49849355481206,833.257036736833
labeled-data,BPN_N2_A-07032022195720-0000,img214.png,743.7933537260049,570.0574239985522,699.6323448773,640.71503815648,616.6096482417349,572.7070845294744,601.5949052331753,737.8692576236306,406.4032461219,847.3885595684186
labeled-data,BPN_N2_A-07032022195720-0000,img236.png,743.7933537260049,570.0574239985522,689.916922930585,638.0653776255576,585.6969420476415,578.006405591319,554.7842358535482,752.8840006321902,420.53476895348547,883.6005868243566
labeled-data,BPN_N2_A-07032022195720-0000,img237.png,743.7933537260049,570.0574239985522,689.0337027536109,639.8318179795058,572.4486393930301,587.7218275380341,536.2366121370922,763.4826427558794,407.2864662988741,889.7831280631752
labeled-data,BPN_N2_A-07032022195720-0000,img245.png,743.7933537260049,570.0574239985522,689.0337027536109,620.4009740860756,684.6176018687404,472.90320453140146,559.2003367384186,621.2841942630498,401.1039250600554,638.9485978025317
labeled-data,BPN_N2_A-07032022195720-0000,img262.png,743.7933537260049,570.0574239985522,678.4350606299217,630.9996162097648,572.4486393930301,539.1447178044588,425.83409001533005,674.2774048814956,260.671916921174,689.2921478900553
labeled-data,BPN_N2_A-07032022195720-0000,img264.png,743.7933537260049,570.0574239985522,694.3330238154555,631.882836386739,659.8874369134656,505.58235107944313,530.0540708982735,650.430460103195,369.30799868898794,657.4962215189878
labeled-data,BPN_N2_A-07032022195720-0000,img285.png,743.7933537260049,570.0574239985522,707.5813264700669,638.0653776255576,707.5813264700669,489.6843878939094,626.32507018845,659.262661872936,508.8567866508952,711.3726523144077
labeled-data,BPN_N2_A-07032022195720-0000,img288.png,743.7933537260049,570.0574239985522,712.8806475319114,636.2989372716095,677.5518404529477,512.6481124952359,659.0042167364916,699.0075698367702,541.5359331989367,843.8556788605222
labeled-data,BPN_N2_A-07032022195720-0000,img320.png,743.7933537260049,570.0574239985522,689.0337027536109,638.9485978025317,545.0688139068332,604.503010900542,435.54951196204513,761.7162024019312,246.54039408958846,865.9361832848747
labeled-data,BPN_N2_A-07032022195720-0000,img333.png,743.7933537260049,570.0574239985522,694.3330238154555,636.2989372716095,606.8942262950198,571.8238643525003,590.9962631094861,737.8692576236306,429.3669707232265,850.0382200993408
labeled-data,BPN_N2_A-07032022195720-0000,img336.png,743.7933537260049,570.0574239985522,688.1504825766368,636.2989372716095,560.9667770923669,583.3057266531636,523.8715296594548,756.4168813400865,367.54155833503967,867.7026236388228
labeled-data,BPN_N2_A-07032022195720-0000,img338.png,743.7933537260049,570.0574239985522,684.6176018687404,642.4814785104281,541.5359331989368,599.2036898386974,473.52797957193127,761.7162024019312,320.7308889554126,891.5495684171235
labeled-data,BPN_N2_A-07032022195720-0000,img343.png,743.7933537260049,570.0574239985522,689.916922930585,629.2331758558166,665.1867579753102,494.1004887787798,549.4849147917037,644.2479188643763,385.2059618745217,655.7297811650396
labeled-data,BPN_N2_A-07032022195720-0000,img344.png,743.7933537260049,570.0574239985522,696.9826843463777,628.3499556788425,695.2162439924296,487.03472736298704,606.0110061180458,654.8465609880654,446.1481540857343,702.5404505446668
labeled-data,BPN_N2_A-07032022195720-0000,img397.png,743.7933537260049,570.0574239985522,681.9679413378182,643.3646986874022,506.2071261199728,639.8318179795058,407.2864662988741,792.6289085960245,188.24786240929808,903.9146508947608
labeled-data,BPN_N2_A-07032022195720-0000,img412.png,743.7933537260049,570.0574239985522,689.0337027536109,637.1821574485836,590.113042932512,570.9406441755262,520.3386489515584,761.7162024019312,360.47579691924693,872.1187245236933
labeled-data,BPN_N2_A-07032022195720-0000,img414.png,743.7933537260049,570.0574239985522,684.6176018687404,637.1821574485836,573.3318595700042,587.7218275380342,485.0098418725945,767.0155234637757,341.92817320279084,871.2355043467192
labeled-data,BPN_N2_A-07032022195720-0000,img418.png,743.7933537260049,570.0574239985522,699.6323448773,638.9485978025318,642.2230333739838,535.6118370965625,533.5869516061699,680.4599461203143,370.191218865962,784.6799270032577
labeled-data,BPN_N2_A-07032022195720-0000,img435.png,743.7933537260049,570.0574239985522,688.1504825766368,642.4814785104281,549.4849147917037,605.3862310775161,439.08239266994156,765.2490831098276,345.46105391068727,925.1119351421391
labeled-data,BPN_N2_A-07032022195720-0000,img441.png,743.7933537260049,570.0574239985522,704.9316659391446,635.4157170946353,721.7128493016525,459.65490187679006,616.6096482417349,629.2331758558166,477.0608602798277,616.8680933781793
labeled-data,BPN_N2_A-07032022195720-0000,img452.png,743.7933537260049,570.0574239985522,690.800143107559,644.2479188643763,576.8647402779006,566.5245432906559,551.2513551456518,751.1175602782421,391.38850311334033,870.3522841697451
labeled-data,BPN_N2_A-07032022195720-0000,img457.png,743.7933537260049,570.0574239985522,687.2672623996627,644.2479188643763,571.5654192160561,574.4735248834227,475.29441992587954,745.8182392163974,280.98598099157823,764.3658629328535
labeled-data,BPN_N2_A-07032022195720-0000,img486.png,743.7933537260049,570.0574239985522,704.9316659391446,639.8318179795058,697.8659045233519,493.2172686018058,666.9531983292585,677.8102855893919,523.8715296594548,827.9577156749884
labeled-data,BPN_N2_A-07032022195720-0000,img491.png,743.7933537260049,570.0574239985522,696.9826843463778,638.0653776255576,612.1935473568644,562.9916625827594,580.397620985797,746.7014593933716,413.46900753769273,867.7026236388228
labeled-data,BPN_N2_A-07032022195720-0000,img499.png,743.7933537260049,570.0574239985522,691.6833632845332,643.3646986874022,544.1855937298591,611.5687723163347,406.4032461219,752.0007804552162,217.39412824944327,858.8704218690818
